Id,Label,v_name,v_male,v_popularity,v_component,modularity_class
n0,n0,rachelerman,0,7139,1,2
n1,n1,mattmcilwain,1,2804,1,0
n2,n2,DaveParkerSEA,1,3328,1,3
n3,n3,toddbishop,1,24500,1,1
n4,n4,ashannstew,0,3382,1,2
n5,n5,LeslieFeinzaig,0,15900,1,3
n6,n6,akipman,1,29500,1,1
n7,n7,matt_oppy,1,4847,1,2
n8,n8,gilbert,1,25800,1,2
n9,n9,juliesandler,0,7031,1,2
n10,n10,BradSmi,1,96300,1,1
n11,n11,crashdev,0,8773,1,2
n12,n12,ShaunaCausey,0,47400,1,0
n13,n13,john_gabbert,1,2482,1,2
n14,n14,moniguzman,0,29000,1,2
n15,n15,mattmday,1,5750,1,1
n16,n16,Rich_Barton,1,31300,1,0
n17,n17,daryn,1,2378,1,2
n18,n18,lovelletters,0,4553,1,3
n19,n19,etzioni,1,27400,1,0
n20,n20,MissDestructo,0,41800,1,3
n21,n21,heatherredman,0,3957,1,3
n22,n22,danshapiro,1,10900,1,2
n23,n23,medinism,1,2084,1,1
n24,n24,KieranSnyder,0,15400,1,3
n25,n25,hadip,1,43300,1,0
n26,n26,RajSinghSeattle,1,4991,1,0
n27,n27,funcOfJoe,1,9510,1,0
n28,n28,kirbywinfield,1,6230,1,3
n29,n29,stevesi,1,206666,1,0
n30,n30,Ryanintheus,1,194239,1,3
n31,n31,sonalpmane,0,1215,1,3
n32,n32,SoGulley,0,965,1,3
n33,n33,X2morrowknight,1,737130,3,3
n34,n34,jinman,1,4781,1,0
n35,n35,tarah,0,48992,4,3
n36,n36,Jenerationy,0,13272,1,2
n37,n37,lanctot,1,5519,1,0
n38,n38,Kristen_Hammy,0,1196,1,0
n39,n39,nhuntwalker,1,5032,1,3
n40,n40,eugenio_pace,1,4908,2,2
n41,n41,JenMsft,0,90185,1,1
n42,n42,PeterHamilton,1,7329,1,2
n43,n43,sarahstood,0,1118,1,2
n44,n44,mcolacurcio,0,2039,1,0
n45,n45,marybethlambert,0,1010,1,2
